"visit_code","arm_code","v_manuf_code","variant","gmt"
"D1","B","Pf","B.1.351",8.8031201690826
"D1","B","Pf","B.1.617.2",9.59486688516679
"D1","B","Pf","BA.1",7.22574179753364
"D1","B","Pf","BA.4/BA.5",5.92245605516762
"D1","B","Pf","BA.4/BA.5(2)",5.92245605516762
"D1","B","Pf","D614G",10.3759320207041
"D1","B","S","B.1.351",8.48997995997973
"D1","B","S","B.1.617.2",9.37672830027812
"D1","B","S","BA.1",7.16897188665729
"D1","B","S","BA.4/BA.5",6.4676173766827
"D1","B","S","BA.4/BA.5(2)",6.4676173766827
"D1","B","S","D614G",10.2063097527164
"D1","B+O","M","B.1.351",8.98023710042935
"D1","B+O","M","B.1.617.2",9.10599483141138
"D1","B+O","M","BA.1",7.31561568092016
"D1","B+O","M","BA.4/BA.5",6.65429440213255
"D1","B+O","M","BA.4/BA.5(2)",6.65429440213255
"D1","B+O","M","D614G",10.0970856190022
"D1","B+O","Pf","B.1.351",9.20729110809327
"D1","B+O","Pf","B.1.617.2",9.55539473857293
"D1","B+O","Pf","BA.1",7.69322486056968
"D1","B+O","Pf","BA.4/BA.5",6.5466370967571
"D1","B+O","Pf","BA.4/BA.5(2)",6.5466370967571
"D1","B+O","Pf","D614G",10.4386442392948
"D1","D+O","M","B.1.351",8.23505378939958
"D1","D+O","M","B.1.617.2",9.18764747029672
"D1","D+O","M","BA.1",6.68865934377197
"D1","D+O","M","BA.4/BA.5",6.34471538167826
"D1","D+O","M","BA.4/BA.5(2)",6.34471538167826
"D1","D+O","M","D614G",10.1030952748151
"D1","O","M","B.1.351",8.78089718086889
"D1","O","M","B.1.617.2",9.05865480435919
"D1","O","M","BA.1",7.534826198421
"D1","O","M","BA.4/BA.5",6.65872688608041
"D1","O","M","BA.4/BA.5(2)",6.65872688608041
"D1","O","M","D614G",10.0673140949765
"D1","O","Pf","B.1.351",8.35929880506001
"D1","O","Pf","B.1.617.2",8.88039759046443
"D1","O","Pf","BA.1",7.10035675702197
"D1","O","Pf","BA.4/BA.5",6.38095505368534
"D1","O","Pf","BA.4/BA.5(2)",6.38095505368534
"D1","O","Pf","D614G",9.94224851495679
"D1","P","M","B.1.351",8.73545742287614
"D1","P","M","B.1.617.2",9.36313392626595
"D1","P","M","BA.1",7.29730906704251
"D1","P","M","BA.4/BA.5",6.62996175257093
"D1","P","M","BA.4/BA.5(2)",6.62996175257093
"D1","P","M","D614G",10.3572042960734
"D1","P","Pf","B.1.351",9.64032380494606
"D1","P","Pf","B.1.617.2",10.0545413915925
"D1","P","Pf","BA.1",8.42114983910377
"D1","P","Pf","BA.4/BA.5",6.99583286226462
"D1","P","Pf","BA.4/BA.5(2)",6.99583286226462
"D1","P","Pf","D614G",11.0081234790879
"D1","P","S","B.1.351",9.20753380646588
"D1","P","S","B.1.617.2",9.48372032127067
"D1","P","S","BA.1",7.70469112621061
"D1","P","S","BA.4/BA.5",7.13979620152857
"D1","P","S","BA.4/BA.5(2)",7.13979620152857
"D1","P","S","D614G",10.41951579334
"D1","P+B","Pf","B.1.351",8.99957431079002
"D1","P+B","Pf","B.1.617.2",9.46385486527399
"D1","P+B","Pf","BA.1",7.76998853038378
"D1","P+B","Pf","BA.4/BA.5",6.5931557771008
"D1","P+B","Pf","BA.4/BA.5(2)",6.5931557771008
"D1","P+B","Pf","D614G",10.0676049151679
"D1","P+B","S","B.1.351",8.96213250631453
"D1","P+B","S","B.1.617.2",9.23695498588206
"D1","P+B","S","BA.1",6.95716636534771
"D1","P+B","S","BA.4/BA.5",6.69118253004827
"D1","P+B","S","BA.4/BA.5(2)",6.69118253004827
"D1","P+B","S","D614G",10.5746752104176
"D1","P+O","M","B.1.351",9.1074281870614
"D1","P+O","M","B.1.617.2",9.4935184816565
"D1","P+O","M","BA.1",7.80235665647297
"D1","P+O","M","BA.4/BA.5",7.10015968026622
"D1","P+O","M","BA.4/BA.5(2)",7.10015968026622
"D1","P+O","M","D614G",10.5687502078322
"D1","P+O","Pf","B.1.351",9.12540116438383
"D1","P+O","Pf","B.1.617.2",9.54362254029457
"D1","P+O","Pf","BA.1",7.84223673777255
"D1","P+O","Pf","BA.4/BA.5",6.3885233152275
"D1","P+O","Pf","BA.4/BA.5(2)",6.3885233152275
"D1","P+O","Pf","D614G",10.5557617741922
"D29","B","Pf","B.1.351",10.7729307808516
"D29","B","Pf","B.1.617.2",10.7291123152217
"D29","B","Pf","BA.1",9.04639483544262
"D29","B","Pf","BA.4/BA.5",8.27044030981471
"D29","B","Pf","BA.4/BA.5(2)",8.27044030981471
"D29","B","Pf","D614G",11.4191329625912
"D29","B","S","B.1.351",10.6231527750462
"D29","B","S","B.1.617.2",10.6881804481605
"D29","B","S","BA.1",9.29950733310284
"D29","B","S","BA.4/BA.5",8.08518013008247
"D29","B","S","BA.4/BA.5(2)",8.08518013008247
"D29","B","S","D614G",11.2240448138286
"D29","B+O","M","B.1.351",11.4033557933148
"D29","B+O","M","B.1.617.2",11.3379690867166
"D29","B+O","M","BA.1",10.1508115267079
"D29","B+O","M","BA.4/BA.5",9.32596799486401
"D29","B+O","M","BA.4/BA.5(2)",9.32596799486401
"D29","B+O","M","D614G",11.923654216468
"D29","B+O","Pf","B.1.351",10.8595746158834
"D29","B+O","Pf","B.1.617.2",10.7549971609926
"D29","B+O","Pf","BA.1",9.63026225827877
"D29","B+O","Pf","BA.4/BA.5",8.51723509294549
"D29","B+O","Pf","BA.4/BA.5(2)",8.51723509294549
"D29","B+O","Pf","D614G",11.3188426542717
"D29","D+O","M","B.1.351",10.2439978231359
"D29","D+O","M","B.1.617.2",10.8764214203451
"D29","D+O","M","BA.1",9.32614536594259
"D29","D+O","M","BA.4/BA.5",8.95357214377139
"D29","D+O","M","BA.4/BA.5(2)",8.95357214377139
"D29","D+O","M","D614G",11.3810574256401
"D29","O","M","B.1.351",10.6453014870698
"D29","O","M","B.1.617.2",10.3529706230834
"D29","O","M","BA.1",9.86781545477722
"D29","O","M","BA.4/BA.5",8.48354675351053
"D29","O","M","BA.4/BA.5(2)",8.48354675351053
"D29","O","M","D614G",11.1738429004438
"D29","O","Pf","B.1.351",10.5366297348429
"D29","O","Pf","B.1.617.2",10.584902135583
"D29","O","Pf","BA.1",9.66033884307304
"D29","O","Pf","BA.4/BA.5",8.66593994012858
"D29","O","Pf","BA.4/BA.5(2)",8.66593994012858
"D29","O","Pf","D614G",11.4254589069718
"D29","P","M","B.1.351",10.0482003419318
"D29","P","M","B.1.617.2",10.5664256879974
"D29","P","M","BA.1",8.80939004258742
"D29","P","M","BA.4/BA.5",8.22717693587993
"D29","P","M","BA.4/BA.5(2)",8.22717693587993
