"visit_code","arm_code","v_manuf_code","variant","gmt"
"D1","B","Pf","B.1.351",5.7958679730588
"D1","B","Pf","B.1.617.2",6.84249156337401
"D1","B","Pf","BA.1",3.68671304015254
"D1","B","Pf","BA.4/BA.5",2.99669481515792
"D1","B","Pf","BA.4/BA.5(2)",2.99669481515792
"D1","B","Pf","D614G",8.01431228032164
"D1","B","S","B.1.351",5.59232318056369
"D1","B","S","B.1.617.2",6.80257901775814
"D1","B","S","BA.1",3.67823679386725
"D1","B","S","BA.4/BA.5",3.07741447573624
"D1","B","S","BA.4/BA.5(2)",3.07741447573624
"D1","B","S","D614G",7.98573408175527
"D1","B+O","M","B.1.351",6.22632119033294
"D1","B+O","M","B.1.617.2",7.18992095970516
"D1","B+O","M","BA.1",4.39564836267204
"D1","B+O","M","BA.4/BA.5",3.4678783282052
"D1","B+O","M","BA.4/BA.5(2)",3.4678783282052
"D1","B+O","M","D614G",8.2712943116073
"D1","B+O","Pf","B.1.351",5.65009147422462
"D1","B+O","Pf","B.1.617.2",6.59329981851403
"D1","B+O","Pf","BA.1",3.67821172037315
"D1","B+O","Pf","BA.4/BA.5",2.74952131040525
"D1","B+O","Pf","BA.4/BA.5(2)",2.74952131040525
"D1","B+O","Pf","D614G",7.81130325831932
"D1","D+O","M","B.1.351",6.25306031241517
"D1","D+O","M","B.1.617.2",7.35967806157083
"D1","D+O","M","BA.1",4.54096783362349
"D1","D+O","M","BA.4/BA.5",3.52697889176693
"D1","D+O","M","BA.4/BA.5(2)",3.52697889176693
"D1","D+O","M","D614G",8.3996576186205
"D1","O","M","B.1.351",5.93153291240692
"D1","O","M","B.1.617.2",7.19215289897745
"D1","O","M","BA.1",4.4111621667094
"D1","O","M","BA.4/BA.5",3.59599986004637
"D1","O","M","BA.4/BA.5(2)",3.59599986004637
"D1","O","M","D614G",8.25181256365719
"D1","O","Pf","B.1.351",5.61215568337039
"D1","O","Pf","B.1.617.2",6.76824742411898
"D1","O","Pf","BA.1",4.01473887315519
"D1","O","Pf","BA.4/BA.5",3.10855495063034
"D1","O","Pf","BA.4/BA.5(2)",3.10855495063034
"D1","O","Pf","D614G",7.98493741563502
"D1","P","M","B.1.351",5.75774866833595
"D1","P","M","B.1.617.2",6.75717218873452
"D1","P","M","BA.1",4.07137583796871
"D1","P","M","BA.4/BA.5",3.26604472809744
"D1","P","M","BA.4/BA.5(2)",3.26604472809744
"D1","P","M","D614G",7.78982337828856
"D1","P","Pf","B.1.351",5.49927779164504
"D1","P","Pf","B.1.617.2",6.63619805196749
"D1","P","Pf","BA.1",3.77631598056404
"D1","P","Pf","BA.4/BA.5",3.0149560733592
"D1","P","Pf","BA.4/BA.5(2)",3.0149560733592
"D1","P","Pf","D614G",7.77799082038321
"D1","P","S","B.1.351",5.59629534313474
"D1","P","S","B.1.617.2",6.94951590749452
